Campanha,Finalidade,Apoio_tipo,Midia,Categoria,Categoria,Local,Estado,Regiao,Arrecadado_faixa,Arrecadado_mes,Apoiadores,Apoiadores_Media,Apoiadores_faixa,Meta,Meta_faixa,Arrecadacao,Link,Raspagem
@direita_calada,privado,canais de comunicação,outros,"""Jornalismo""",Jornalismo,"RS, Porto Alegre",RS,Sul,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 10,000,000.00",mais de R$10 mil,recorrente,https://apoia.se/direitacalada,Março
DireitaUnida,privado,outros,NA,NA,NA,"MG, Belo Horizonte",MG,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/geraldopacheco,Março
Abusa News,privado,canais de comunicação,site/blog,"""Jornalismo""",Jornalismo,"Itaboraí, RJ",RJ,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/abusanews?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Ajuda Financeira,privado,outros,NA,"""Jornalismo""",Jornalismo,NA,NA,NA,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,NA,Setembro
Ajuda financeira Jonathan Oliveira,privado,canais de comunicação,youtube,"c(""Cinema e vídeo"", ""Educação"")","Cinema e vídeo, Educação","PR, Foz do Iguaçu",PR,Sul,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 300.00,entre R$1 e R$499,recorrente,https://apoia.se/jonathanoliveira,Março
Ajude a @Bolsonaro_ a_ lenda,privado,canais de comunicação,outros,NA,NA,"Vassouras, RJ",RJ,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 2,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/5a11607460b4eb0300415ad7?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Ajude a direita brasileira,privado,canais de comunicação,youtube,"c(""Música"", ""Outras"")","Música, Outras","São Paulo, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 200.00,entre R$1 e R$499,recorrente,https://apoia.se/conservadorismobr?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Ajude a Direita Espírito Santo,público,movimentos suprapartidários,NA,"c(""Animação"", ""Ciência"", ""Cinema e vídeo"", ""Comédia"", ""Desenho e pintura"", ""Educação"", ""Empreendedorismo"", ""Escrita"", ""Eventos"", ""Fotografia"", ""Jornalismo"", ""Teatro"")","Animação, Ciência, Cinema e vídeo, Comédia, Desenho e pintura, Educação, Empreendedorismo, Escrita, Eventos, Fotografia, Jornalismo, Teatro","Serra, ES",ES,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 1,800.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/direitaes?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,"c(Março,Setembro)"
Ajude a manter o podcast no ar :D,privado,canais de comunicação,podcast,"""Podcast""",Podcast,"João Pessoa, PB",PB,Nordeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 500.00,entre R$500 e R$999,recorrente,https://apoia.se/5768399764d6820900396d4c?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Ajude a pagina OPRESSOR no Facebook,privado,canais de comunicação,fanpages,"""Comédia""",Comédia,"Indaiatuba, SP",SP,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,R$ 0.00,R$ 0.00,recorrente,https://apoia.se/opressor?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
Ajude ao partido conservador PACO,público,movimentos suprapartidários,outros,"c(""Jornalismo"", ""Cinema e vídeo"")","Jornalismo, Cinema e vídeo","Divinópolis, MG",MG,Sudeste,entre R$0 e R$499,0.00,0,0.00,entre 0 e 4,"R$ 10,000.00",mais de R$10 mil,recorrente,https://apoia.se/2310342592322705?utm_source=Explore-da-APOIA-se&utm_medium=Card-de-Campanha,Setembro
AJUDE EM NOSSO  CANAL,privado,canais de comunicação,youtube,"""Jornalismo""",Jornalismo,"SP, São José dos Campos",SP,Sudeste,entre R$0 e R$499,5.00,1,5.00,entre 0 e 4,"R$ 3,000.00",entre R$1.000 e R$4.999,recorrente,https://apoia.se/marcioribeiro,Março
